Business_ID,Name,Address,City,Latitude,Longitude,Grade
PR0090170,Luigi's Italian Eatery,211 1st AVE S,Seattle,47.600424,-122.334575,2
PR0081759,MENCHIE'S ADMIRAL,2620 CALIFORNIA AVE SW #400,SEATTLE,47.58068911,-122.386148,1
PR0081060,KIREI POKE LLC,3515 FREMONT AVE N STE B,SEATTLE,47.65114101,-122.35022042,2
PR0026299,JACKSONS #628,2936 228TH AVE SE,SAMMAMISH,47.5833060715,-122.0347308311,2
PR0079578,YUMMI SUSHI @ QFC #822,3550 128TH AVE SE,BELLEVUE,47.57866485,-122.1671848,1
PR0051130,MAWADA CAFE GREEK RESTAURANT,14200 1ST AVE S #C,BURIEN,47.4762880306,-122.3335136194,3
PR0026599,SAFEWAY INC #1294,210 WASHINGTON AVE S ,Kent,47.3804120832,-122.2465338827,1
PR0089843,ARENA AT SEATTLE CENTER,334 1ST AVE N,SEATTLE,47.62250374,-122.35458006,1
PR0030422,SUBWAY SANDWICH SHOP,14245 NE WOODINVILLE / DUVALL RD NE ,Woodinville,47.758163726,-122.1476682299,1
PR0042935,QFC #849,2707 RAINIER AVE S ,Seattle,47.5787631769,-122.2998000679,1
PR0083718,THE BRIDGE,6301 CALIFORNIA AVE SW,SEATTLE,47.54657257,-122.3874393,1
PR0001962,TEDDY'S,1012 NE 65TH ST ,Seattle,47.6760174936,-122.3167693324,3
PR0076713,DOMINO'S PIZZA,7328 BETTER WAY SE #10,SNOQUALMIE,47.5339432172,-121.8397248941,1
PR0010909,AYUTTHAYA THAI RESTAURANT,727 E PIKE ST ,Seattle,47.6139447698,-122.3222902458,3
PR0077107,EINSTEIN BROS BAGELS #3477,600 4TH AVE ,SEATTLE,47.6039511223,-122.330500091,2
PR0083281,FAINTING GOAT CREAMERY INC,3415 FREMONT AVE N #A,SEATTLE,47.650134,-122.350012,1
PR0084248,CARNICERIA LOS COMPADRES #3,419 RAINIER AVE N,RENTON,47.48914134,-122.21847786,1
PR0001748,PHI KAPPA SIGMA,4711 17TH AVE NE,Seattle,47.6635351729,-122.3100070005,2
PR0091561,Federal Way Bibim Express,2020 S 320th ST D,Federal Way,,,1
PR0021881,SONESTA SELECT SEATTLE BELLEVUE,14615 NE 29TH PL ,BELLEVUE,47.6354983286,-122.1463017771,1
PR0069640,SUBWAY #27237,100 4TH AVE N #120,SEATTLE,47.6191533102,-122.3485721609,1
PR0087291,SALT & STRAW,5420 BALLARD AVE NW,SEATTLE,47.66831847,-122.38536839,1
PR0090985,Friendly Normandy Market,19803 1ST AVE S STE 102,Normandy Park,,,3
PR0071061,ZEEKS PIZZA INC,124 PARK LN ,KIRKLAND,47.6762070836,-122.2060739513,2
PR0088352,KANISHKA CATERING KITCHEN,16651 REDMOND WAY,REDMOND,47.67244,-122.11767,3
PR0086758,WILLIAM SONOMA CALIFORNIA #6181,4619 26TH AVE NE,SEATTLE,47.66231011,-122.30009773,1
